Name,Manufacturer,Availability,Quantity,Price,Images_link
Boro Plus Aloe Gel - 150ml,Boro Plus,TRUE,20,95,['https://cdn01.pharmeasy.in/dam/products_otc/H28738/boro-plus-aloe-gel-150ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Boro Plus Aloe Gel - 60ml,Boro Plus,TRUE,20,50,['https://cdn01.pharmeasy.in/dam/products_otc/F71844/boro-plus-aloe-gel-60ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Boro Plus Aloe Gel Haldi Chandan Kesar - 150ml,Boro Plus,TRUE,20,110,['https://cdn01.pharmeasy.in/dam/products_otc/G80381/boro-plus-aloe-gel-haldi-chandan-kesar-150ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Boro Plus Aloe Gel Haldi Chandan Kesar - 60ml,Boro Plus,TRUE,20,55,['https://cdn01.pharmeasy.in/dam/products_otc/G67162/boro-plus-aloe-gel-haldi-chandan-kesar-60ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Caladryl Lotion 120ml,Caladryl,TRUE,20,76.16,['https://cdn01.pharmeasy.in/dam/products_otc/I01344/caladryl-lotion-120ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Caladryl Lotion 60ml,Caladryl,TRUE,20,50.4,['https://cdn01.pharmeasy.in/dam/products_otc/I02133/caladryl-lotion-60ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Candid Soap 125gm,CANDID,TRUE,20,163.5,['https://cdn01.pharmeasy.in/dam/products_otc/I02173/candid-soap-125gm-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Candiderma + Cream 10gm,CANDIDERMA PLUS,TRUE,20,94,['https://cdn01.pharmeasy.in/dam/products_otc/277016/candiderma-cream-10gm-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Candiderma + Cream 20gm,CANDIDERMA PLUS,TRUE,20,141.5,['https://cdn01.pharmeasy.in/dam/products_otc/277014/candiderma-cream-20gm-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Candidox Lotion 30ml,CANDIDOX,TRUE,20,225,['https://cdn01.pharmeasy.in/dam/products_otc/M24055/candidox-lotion-30ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Candidox Shampoo 100ml,CANDIDOX,TRUE,20,299,['https://cdn01.pharmeasy.in/dam/products_otc/J45494/candidox-shampoo-100ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Carmesi All Natural Intimate Cleanser With Olive Leaf Extracts,Carmesi,TRUE,20,299,['https://cdn01.pharmeasy.in/dam/products_otc/L78690/carmesi-all-natural-intimate-cleanser-with-olive-leaf-extracts-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
"Chicnutrix Bounce - Hair Recovery Complex, Biotin & Selenium For A Good Hair Day, Everyday - Raspberry Flavour - 20 Effervescent Tablets",Chicnutrix,TRUE,20,720,['https://cdn01.pharmeasy.in/dam/products_otc/Z24639/chicnutrix-bounce-hair-recovery-complex-biotin-selenium-for-a-good-hair-day-everyday-raspberry-flavour-20-effervescent-tablets-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
Chicnutrix Glow - Glutathione And Vitamin C For Skin Radiance & Glow - Strawberry And Lemon Flavour - 20 Effervescent Tablets,Chicnutrix,TRUE,20,1800,['https://cdn01.pharmeasy.in/dam/products_otc/B53333/chicnutrix-glow-glutathione-and-vitamin-c-for-skin-radiance-glow-strawberry-and-lemon-flavour-20-effervescent-tablets-1.jpg?dim=300x0&f=jpg&dpr=1&q=60']
